hero,region,division,pickrate,winrate,banrate
junker-queen,europe,diamond,4.2,52.3,0.3
junkrat,europe,diamond,4.7,52.2,1.1
juno,europe,diamond,17.9,51.4,0.2
kiriko,europe,diamond,37.4,46.0,8.9
lifeweaver,europe,diamond,8.7,48.4,0.8
lucio,europe,diamond,5.5,51.3,0.2
mauga,europe,diamond,5.2,49.3,34.9
mei,europe,diamond,5.1,49.6,0.9
mercy,europe,diamond,15.1,50.7,14.8
mizuki,europe,diamond,10.6,48.6,12.5
moira,europe,diamond,15.8,48.3,1.0
orisa,europe,diamond,6.5,44.4,5.6
pharah,europe,diamond,4.6,53.4,5.9
ramattra,europe,diamond,4.1,45.8,2.8
reaper,europe,diamond,7.2,49.8,0.9
reinhardt,europe,diamond,9.2,51.2,1.5
roadhog,europe,diamond,7.3,46.9,18.6
shion,europe,diamond,10.8,50.6,0.8
sierra,europe,diamond,4.5,46.1,2.0
sigma,europe,diamond,8.3,49.1,4.9
sojourn,europe,diamond,17.5,46.7,2.2
soldier-76,europe,diamond,16.1,50.1,0.4
sombra,europe,diamond,3.9,46.5,3.6
symmetra,europe,diamond,2.1,51.6,0.8
torbjorn,europe,diamond,3.8,51.1,0.3
tracer,europe,diamond,13.6,52.1,11.3
vendetta,europe,diamond,2.9,50.7,1.0
venture,europe,diamond,2.2,52.0,0.4
widowmaker,europe,diamond,6.5,51.4,12.5
winston,europe,diamond,7.0,49.8,2.7
wrecking-ball,europe,diamond,6.0,49.6,17.5
wuyang,europe,diamond,7.1,52.0,0.1
zarya,europe,diamond,6.1,48.8,21.8
zenyatta,europe,diamond,11.9,52.3,5.5
ana,europe,master,41.6,48.8,10.2
anran,europe,master,3.4,50.5,1.9
ashe,europe,master,9.8,51.6,0.3
baptiste,europe,master,6.5,47.8,0.0
bastion,europe,master,8.3,47.7,3.4
brigitte,europe,master,8.6,51.0,0.6
cassidy,europe,master,26.3,46.6,19.5
dmon,europe,master,12.8,53.2,19.0
domina,europe,master,1.8,51.1,0.4
doomfist,europe,master,10.5,49.7,11.4
dva,europe,master,5.6,47.4,23.4
echo,europe,master,6.0,50.6,0.5
emre,europe,master,5.8,47.2,0.2
freja,europe,master,6.9,49.8,59.3
genji,europe,master,16.3,51.3,1.3
hanzo,europe,master,5.4,48.9,0.6
hazard,europe,master,7.0,52.0,14.5
illari,europe,master,5.3,50.0,0.1
jetpack-cat,europe,master,10.1,55.6,63.4
junker-queen,europe,master,4.1,51.6,0.3
junkrat,europe,master,4.1,53.0,0.5
juno,europe,master,17.2,50.8,0.1
kiriko,europe,master,42.8,47.3,12.2
lifeweaver,europe,master,6.9,48.7,0.6
lucio,europe,master,7.8,52.0,0.4
mauga,europe,master,6.0,48.4,36.4
mei,europe,master,3.9,49.7,0.3
mercy,europe,master,12.6,49.3,7.8
mizuki,europe,master,10.1,48.0,14.3
moira,europe,master,11.2,48.9,0.4
orisa,europe,master,6.1,46.3,4.0
pharah,europe,master,5.3,53.1,5.1
ramattra,europe,master,3.5,46.5,1.8
reaper,europe,master,7.4,49.9,0.6
reinhardt,europe,master,7.2,51.9,1.1
roadhog,europe,master,6.9,47.8,14.7
shion,europe,master,14.5,50.6,0.7
sierra,europe,master,1.8,44.3,0.3
sigma,europe,master,7.9,49.2,4.9
sojourn,europe,master,20.2,46.3,1.5
soldier-76,europe,master,14.3,50.9,0.4
sombra,europe,master,3.3,47.7,0.8
symmetra,europe,master,2.3,53.5,0.6
torbjorn,europe,master,3.1,49.5,0.2
tracer,europe,master,19.9,52.0,16.6
vendetta,europe,master,2.4,51.9,0.3
venture,europe,master,2.5,52.0,0.4
widowmaker,europe,master,6.9,50.1,10.7
winston,europe,master,7.5,48.9,1.5
wrecking-ball,europe,master,6.9,49.3,13.6
wuyang,europe,master,7.8,51.5,0.1
zarya,europe,master,6.2,49.7,15.4
zenyatta,europe,master,11.4,51.9,5.5
ana,europe,grandmaster,36.3,48.9,9.2
anran,europe,grandmaster,1.7,45.8,0.3
ashe,europe,grandmaster,6.5,52.4,0.2
baptiste,europe,grandmaster,5.6,49.8,0.0
bastion,europe,grandmaster,7.9,49.5,2.5
brigitte,europe,grandmaster,9.9,49.9,0.4
cassidy,europe,grandmaster,23.1,47.5,25.1
dmon,europe,grandmaster,15.7,54.8,23.7
domina,europe,grandmaster,1.7,52.1,0.2
doomfist,europe,grandmaster,8.1,48.5,4.6
dva,europe,grandmaster,6.5,46.7,22.8
echo,europe,grandmaster,6.9,51.3,0.5
emre,europe,grandmaster,3.9,45.5,0.1
freja,europe,grandmaster,7.8,48.2,56.6
genji,europe,grandmaster,12.3,50.8,0.7
hanzo,europe,grandmaster,3.8,49.1,0.2
hazard,europe,grandmaster,8.5,51.9,10.0
illari,europe,grandmaster,6.9,49.5,0.3
jetpack-cat,europe,grandmaster,11.9,56.3,75.0
junker-queen,europe,grandmaster,2.4,50.9,0.2
junkrat,europe,grandmaster,4.6,51.4,1.6
juno,europe,grandmaster,15.5,50.3,0.2
kiriko,europe,grandmaster,52.0,49.2,17.6
lifeweaver,europe,grandmaster,5.2,47.6,0.4
lucio,europe,grandmaster,12.0,51.2,1.1
mauga,europe,grandmaster,6.1,48.1,30.2
mei,europe,grandmaster,4.1,49.0,0.3
mercy,europe,grandmaster,7.3,47.5,2.0
mizuki,europe,grandmaster,11.0,48.0,12.8
moira,europe,grandmaster,7.4,49.0,0.2
orisa,europe,grandmaster,6.3,48.3,2.6
pharah,europe,grandmaster,5.7,51.6,5.4
ramattra,europe,grandmaster,4.4,46.0,2.4
reaper,europe,grandmaster,8.7,49.5,1.0
reinhardt,europe,grandmaster,6.3,49.6,1.5
roadhog,europe,grandmaster,6.7,45.2,9.0
shion,europe,grandmaster,19.8,48.5,1.6
sierra,europe,grandmaster,0.7,42.0,0.0
sigma,europe,grandmaster,8.0,49.5,3.8
sojourn,europe,grandmaster,23.6,48.2,0.7
soldier-76,europe,grandmaster,10.0,51.0,0.3
sombra,europe,grandmaster,2.3,47.3,0.2
symmetra,europe,grandmaster,3.8,55.2,1.2
torbjorn,europe,grandmaster,3.2,47.6,0.1
tracer,europe,grandmaster,27.5,52.4,21.9
vendetta,europe,grandmaster,2.1,48.7,0.2
venture,europe,grandmaster,2.6,54.5,0.3
widowmaker,europe,grandmaster,7.6,49.1,6.6
winston,europe,grandmaster,6.6,49.9,1.0
wrecking-ball,europe,grandmaster,6.9,50.6,20.0
wuyang,europe,grandmaster,9.1,50.1,0.2
zarya,europe,grandmaster,5.7,51.1,10.5
zenyatta,europe,grandmaster,9.7,51.4,3.4
ana,asia,bronze,22.4,49.1,3.9
anran,asia,bronze,11.8,51.3,11.0
ashe,asia,bronze,10.2,50.4,0.4
baptiste,asia,bronze,5.3,44.8,0.0
bastion,asia,bronze,15.8,49.5,1.6
brigitte,asia,bronze,2.6,45.9,0.2
cassidy,asia,bronze,13.5,48.1,0.5
dmon,asia,bronze,10.8,53.4,10.2
domina,asia,bronze,6.8,50.6,3.0
doomfist,asia,bronze,3.1,53.1,19.2
dva,asia,bronze,6.7,47.1,2.4
echo,asia,bronze,3.3,48.3,0.7
emre,asia,bronze,8.1,48.6,0.1
freja,asia,bronze,6.2,51.1,50.2
genji,asia,bronze,6.6,51.0,1.0
hanzo,asia,bronze,4.2,48.0,0.1
hazard,asia,bronze,2.3,46.9,0.6
illari,asia,bronze,5.2,49.2,0.2
jetpack-cat,asia,bronze,4.5,51.4,58.8
junker-queen,asia,bronze,1.8,51.1,0.2
junkrat,asia,bronze,7.4,50.1,1.0
juno,asia,bronze,22.8,49.4,0.3
kiriko,asia,bronze,57.1,49.8,0.9
lifeweaver,asia,bronze,4.5,43.4,0.3
lucio,asia,bronze,4.4,46.5,0.1
mauga,asia,bronze,6.5,46.0,7.3
mei,asia,bronze,8.8,52.4,3.2
mercy,asia,bronze,4.6,43.5,0.5
mizuki,asia,bronze,17.2,51.6,1.5
moira,asia,bronze,30.1,51.7,4.6
orisa,asia,bronze,14.6,45.4,6.4
pharah,asia,bronze,3.4,51.7,70.2
ramattra,asia,bronze,11.4,50.4,5.5
reaper,asia,bronze,9.6,52.3,1.5
reinhardt,asia,bronze,7.5,51.6,2.6
roadhog,asia,bronze,4.0,43.4,1.6
shion,asia,bronze,13.2,48.3,1.0
sierra,asia,bronze,22.2,49.0,4.5
sigma,asia,bronze,15.1,52.8,6.0
sojourn,asia,bronze,15.7,44.5,0.2
soldier-76,asia,bronze,14.5,49.7,0.2
sombra,asia,bronze,2.8,48.2,49.6
symmetra,asia,bronze,4.0,54.9,3.7
torbjorn,asia,bronze,5.6,52.2,0.3
tracer,asia,bronze,5.1,50.5,4.4
vendetta,asia,bronze,3.0,52.2,1.7
venture,asia,bronze,1.7,50.0,0.1
widowmaker,asia,bronze,3.1,45.8,1.3
winston,asia,bronze,4.7,49.3,4.7
wrecking-ball,asia,bronze,1.8,49.5,11.0
wuyang,asia,bronze,9.9,51.4,0.2
zarya,asia,bronze,2.8,52.4,69.3
zenyatta,asia,bronze,9.4,51.9,0.8
ana,asia,silver,29.0,48.2,5.3
anran,asia,silver,12.3,52.0,12.6
ashe,asia,silver,10.7,49.9,0.4
baptiste,asia,silver,5.2,44.2,0.1
bastion,asia,silver,14.1,48.6,2.2
brigitte,asia,silver,2.9,47.9,0.1
cassidy,asia,silver,17.3,47.3,0.9
dmon,asia,silver,11.4,54.3,8.5
domina,asia,silver,4.9,49.2,2.3
doomfist,asia,silver,3.9,51.1,19.7
dva,asia,silver,5.9,45.4,2.6
echo,asia,silver,3.6,48.0,0.5
emre,asia,silver,8.0,48.6,0.1
freja,asia,silver,5.5,49.2,57.7
genji,asia,silver,6.9,50.7,0.8
hanzo,asia,silver,3.9,49.5,0.2
hazard,asia,silver,2.4,48.5,0.7
illari,asia,silver,4.4,48.2,0.1
jetpack-cat,asia,silver,5.6,52.8,48.3
junker-queen,asia,silver,2.0,50.5,0.2
junkrat,asia,silver,6.8,50.2,0.8
juno,asia,silver,16.7,49.8,0.2
kiriko,asia,silver,58.0,48.7,1.1
lifeweaver,asia,silver,4.8,46.2,0.3
lucio,asia,silver,3.8,47.7,0.2
mauga,asia,silver,6.8,47.3,10.8
mei,asia,silver,9.2,52.5,4.9
mercy,asia,silver,3.9,44.7,0.4
mizuki,asia,silver,15.7,50.8,3.1
moira,asia,silver,30.3,51.7,4.1
orisa,asia,silver,13.7,46.3,7.0
pharah,asia,silver,3.8,53.1,63.7
ramattra,asia,silver,10.7,49.4,5.8
reaper,asia,silver,12.5,51.5,1.9
reinhardt,asia,silver,7.8,51.7,2.6
roadhog,asia,silver,4.0,43.0,2.0
shion,asia,silver,11.6,48.8,0.8
sierra,asia,silver,17.5,48.8,3.5
sigma,asia,silver,15.5,52.0,6.1
sojourn,asia,silver,14.5,45.1,0.1
soldier-76,asia,silver,14.1,49.2,0.1
sombra,asia,silver,3.0,48.3,34.8
symmetra,asia,silver,4.8,54.4,7.3
torbjorn,asia,silver,5.5,52.2,0.5
tracer,asia,silver,6.2,49.0,2.9
vendetta,asia,silver,3.3,50.9,1.5
venture,asia,silver,2.2,53.6,0.3
widowmaker,asia,silver,2.8,47.4,1.1
winston,asia,silver,5.3,49.1,4.4
wrecking-ball,asia,silver,1.9,49.8,10.3
wuyang,asia,silver,10.0,52.5,0.2
zarya,asia,silver,3.7,51.7,65.7
zenyatta,asia,silver,9.6,51.8,1.1
ana,asia,gold,35.9,48.5,5.3
anran,asia,gold,11.4,51.7,11.0
ashe,asia,gold,11.2,50.6,0.4
baptiste,asia,gold,5.4,44.2,0.1
bastion,asia,gold,11.5,48.1,2.4
brigitte,asia,gold,3.5,48.0,0.1
cassidy,asia,gold,21.7,46.9,1.7
dmon,asia,gold,11.3,53.2,8.6
domina,asia,gold,3.6,49.7,1.5
doomfist,asia,gold,5.3,51.3,20.4
dva,asia,gold,5.5,46.0,2.9
echo,asia,gold,4.0,48.5,0.5
emre,asia,gold,7.7,48.5,0.1
freja,asia,gold,5.0,50.8,68.6
genji,asia,gold,8.7,51.7,0.8
hanzo,asia,gold,4.4,49.4,0.2
hazard,asia,gold,3.0,50.5,0.9
illari,asia,gold,3.9,48.0,0.1
jetpack-cat,asia,gold,6.7,53.1,46.3
junker-queen,asia,gold,2.4,50.9,0.2
junkrat,asia,gold,5.9,50.6,0.6
juno,asia,gold,13.6,50.5,0.1
kiriko,asia,gold,58.0,48.7,1.1
lifeweaver,asia,gold,5.2,47.1,0.3
lucio,asia,gold,3.6,48.7,0.2
mauga,asia,gold,6.6,47.8,16.3
mei,asia,gold,8.8,50.9,5.3
mercy,asia,gold,3.6,44.7,0.4
mizuki,asia,gold,13.3,49.9,5.7
moira,asia,gold,26.3,51.1,3.0
orisa,asia,gold,13.2,46.3,8.5
pharah,asia,gold,4.7,53.1,54.0
ramattra,asia,gold,9.3,49.0,6.0
reaper,asia,gold,13.1,51.3,1.8
reinhardt,asia,gold,8.5,51.6,2.5
roadhog,asia,gold,4.4,43.1,2.5
shion,asia,gold,10.6,49.5,0.8
sierra,asia,gold,13.1,48.5,2.4
sigma,asia,gold,14.1,52.4,5.7
sojourn,asia,gold,14.5,45.5,0.2
soldier-76,asia,gold,13.5,49.0,0.1
sombra,asia,gold,3.4,48.2,23.2
symmetra,asia,gold,5.2,54.1,9.2
torbjorn,asia,gold,5.2,52.2,0.5
tracer,asia,gold,8.0,48.8,2.3
vendetta,asia,gold,3.1,50.2,1.3
venture,asia,gold,2.5,52.6,0.3
widowmaker,asia,gold,2.8,48.9,0.9
winston,asia,gold,5.8,48.1,3.3
wrecking-ball,asia,gold,2.4,49.4,10.5
wuyang,asia,gold,10.8,52.5,0.3
zarya,asia,gold,4.8,51.0,55.0
zenyatta,asia,gold,10.1,51.9,1.3
ana,asia,platinum,41.0,49.2,5.2
anran,asia,platinum,10.2,51.2,8.7
ashe,asia,platinum,10.8,51.1,0.3
baptiste,asia,platinum,5.7,44.8,0.1
bastion,asia,platinum,8.8,47.8,1.9
brigitte,asia,platinum,4.3,47.9,0.2
cassidy,asia,platinum,26.3,46.9,2.6
dmon,asia,platinum,11.9,53.2,9.4
domina,asia,platinum,2.7,50.3,0.8
doomfist,asia,platinum,6.9,50.7,20.0
dva,asia,platinum,5.4,45.7,3.4
echo,asia,platinum,4.6,49.4,0.4
emre,asia,platinum,7.7,49.5,0.2
freja,asia,platinum,4.3,50.7,78.4
genji,asia,platinum,11.2,51.5,0.8
hanzo,asia,platinum,4.5,49.1,0.2
hazard,asia,platinum,3.5,51.4,1.3
illari,asia,platinum,3.5,48.1,0.1
jetpack-cat,asia,platinum,7.6,53.9,50.9
junker-queen,asia,platinum,2.6,51.9,0.2
junkrat,asia,platinum,4.9,50.6,0.4
juno,asia,platinum,11.5,50.7,0.1
kiriko,asia,platinum,56.8,48.3,1.3
lifeweaver,asia,platinum,4.9,46.7,0.4
lucio,asia,platinum,3.8,48.1,0.1
mauga,asia,platinum,6.1,47.8,21.2
mei,asia,platinum,8.1,50.5,4.5
mercy,asia,platinum,3.2,45.6,0.5
mizuki,asia,platinum,12.0,49.3,8.5
moira,asia,platinum,22.9,50.9,2.4
orisa,asia,platinum,12.0,46.5,10.8
pharah,asia,platinum,5.6,52.7,45.0
ramattra,asia,platinum,7.9,49.0,5.2
reaper,asia,platinum,12.7,51.1,1.6
reinhardt,asia,platinum,8.1,51.2,2.2
roadhog,asia,platinum,4.6,42.9,2.9
shion,asia,platinum,10.7,50.7,0.6
sierra,asia,platinum,8.9,48.4,1.5
sigma,asia,platinum,13.1,52.4,5.3
sojourn,asia,platinum,15.5,45.7,0.2
soldier-76,asia,platinum,11.9,49.4,0.2
sombra,asia,platinum,3.7,46.8,15.1
symmetra,asia,platinum,5.3,54.2,7.7
torbjorn,asia,platinum,5.1,52.3,0.4
tracer,asia,platinum,10.7,48.7,2.0
vendetta,asia,platinum,3.0,49.4,0.9
venture,asia,platinum,2.8,52.6,0.4
widowmaker,asia,platinum,2.9,49.0,1.1
winston,asia,platinum,6.6,49.0,2.4
wrecking-ball,asia,platinum,3.2,49.8,10.4
wuyang,asia,platinum,12.5,52.4,0.4
zarya,asia,platinum,5.4,49.3,43.6
zenyatta,asia,platinum,10.4,51.9,1.5
ana,asia,diamond,40.8,49.8,6.4
anran,asia,diamond,6.0,50.2,2.1
ashe,asia,diamond,7.7,52.1,0.2
baptiste,asia,diamond,5.4,45.8,0.0
bastion,asia,diamond,5.5,48.3,0.8
brigitte,asia,diamond,6.5,48.9,0.2
cassidy,asia,diamond,32.3,47.9,5.6
dmon,asia,diamond,11.6,52.5,13.0
domina,asia,diamond,1.9,51.1,0.2
doomfist,asia,diamond,10.4,51.5,17.3
dva,asia,diamond,5.2,45.1,6.3
echo,asia,diamond,6.5,50.6,0.6
emre,asia,diamond,7.3,50.1,0.1
freja,asia,diamond,3.5,51.0,86.7
genji,asia,diamond,13.9,51.1,0.3
hanzo,asia,diamond,4.1,49.8,0.2
hazard,asia,diamond,6.4,53.8,2.7
illari,asia,diamond,4.2,47.7,0.2
jetpack-cat,asia,diamond,10.1,53.7,61.1
junker-queen,asia,diamond,2.6,52.1,0.2
junkrat,asia,diamond,3.9,49.2,0.3
juno,asia,diamond,8.4,50.5,0.1
kiriko,asia,diamond,54.5,49.2,2.3
lifeweaver,asia,diamond,3.7,43.9,0.5
lucio,asia,diamond,5.6,47.7,0.2
mauga,asia,diamond,5.3,46.3,25.9
mei,asia,diamond,5.3,48.1,2.3
mercy,asia,diamond,2.9,45.4,0.5
mizuki,asia,diamond,11.5,48.6,14.5
moira,asia,diamond,16.2,48.9,1.1
orisa,asia,diamond,9.3,46.9,14.0
pharah,asia,diamond,7.5,53.0,34.7
ramattra,asia,diamond,5.8,49.0,3.4
reaper,asia,diamond,11.3,49.9,1.9
reinhardt,asia,diamond,6.4,48.1,1.6
roadhog,asia,diamond,4.7,43.6,2.9
shion,asia,diamond,14.9,51.2,0.5
sierra,asia,diamond,3.0,45.8,0.3
sigma,asia,diamond,11.1,52.0,6.2
sojourn,asia,diamond,17.2,47.3,0.2
soldier-76,asia,diamond,8.7,50.7,0.4
sombra,asia,diamond,4.1,46.7,3.5
symmetra,asia,diamond,4.1,53.2,1.7
torbjorn,asia,diamond,4.7,50.3,0.3
tracer,asia,diamond,19.4,49.3,2.5
vendetta,asia,diamond,2.8,49.5,0.3
venture,asia,diamond,3.0,53.5,0.3
widowmaker,asia,diamond,3.3,47.0,1.6
winston,asia,diamond,8.1,49.0,1.7
wrecking-ball,asia,diamond,4.8,48.2,5.3
wuyang,asia,diamond,19.6,53.5,0.7
zarya,asia,diamond,6.3,52.9,37.2
zenyatta,asia,diamond,10.6,51.5,1.5
ana,asia,master,35.3,50.7,8.9
anran,asia,master,3.5,48.5,0.4
ashe,asia,master,6.3,52.5,0.1
baptiste,asia,master,4.4,43.9,0.0
bastion,asia,master,4.9,47.0,0.9
brigitte,asia,master,5.9,50.5,0.1
cassidy,asia,master,33.0,49.2,8.1
dmon,asia,master,10.9,52.3,18.4
domina,asia,master,2.1,51.7,0.2
doomfist,asia,master,10.2,49.9,16.9
dva,asia,master,5.3,45.8,6.8
echo,asia,master,7.1,50.7,0.7
emre,asia,master,7.0,50.5,0.1
freja,asia,master,4.0,52.4,86.2
genji,asia,master,14.0,49.1,0.2
hanzo,asia,master,4.5,53.3,0.2
hazard,asia,master,7.9,56.2,4.2
illari,asia,master,5.1,48.7,0.4
jetpack-cat,asia,master,12.2,53.2,66.6
junker-queen,asia,master,2.9,49.7,0.2
junkrat,asia,master,3.6,48.9,0.3
juno,asia,master,7.0,50.3,0.1
kiriko,asia,master,60.3,49.5,3.4
lifeweaver,asia,master,2.6,42.0,0.2
lucio,asia,master,7.0,49.2,0.2
mauga,asia,master,5.9,47.6,21.9
mei,asia,master,4.1,45.8,1.2
mercy,asia,master,2.3,45.3,0.2
mizuki,asia,master,11.1,47.6,15.0
moira,asia,master,13.6,47.9,0.6
orisa,asia,master,8.4,47.7,15.5
pharah,asia,master,7.4,52.0,26.4
ramattra,asia,master,4.9,47.6,2.4
reaper,asia,master,10.7,49.1,2.0
reinhardt,asia,master,4.8,47.9,1.7
roadhog,asia,master,5.5,45.9,3.2
shion,asia,master,18.8,52.1,0.9
sierra,asia,master,1.1,45.8,0.0
sigma,asia,master,11.1,50.4,6.9
sojourn,asia,master,18.3,47.3,0.2
soldier-76,asia,master,7.3,50.9,0.3
sombra,asia,master,2.8,46.1,1.1
symmetra,asia,master,4.2,52.3,0.8
torbjorn,asia,master,5.0,48.3,0.2
tracer,asia,master,22.9,49.5,4.2
vendetta,asia,master,2.2,48.0,0.2
venture,asia,master,3.3,54.1,0.2
widowmaker,asia,master,4.0,48.3,1.8
winston,asia,master,8.2,48.6,1.2
wrecking-ball,asia,master,5.1,47.6,3.7
wuyang,asia,master,24.6,52.7,1.0
zarya,asia,master,6.6,54.2,39.0
zenyatta,asia,master,8.8,50.8,1.2
ana,asia,grandmaster,34.3,51.0,7.8
anran,asia,grandmaster,1.6,39.1,0.3
ashe,asia,grandmaster,5.0,51.0,0.0
baptiste,asia,grandmaster,3.9,49.6,0.0
bastion,asia,grandmaster,3.9,45.7,0.5
brigitte,asia,grandmaster,4.8,44.4,0.1
cassidy,asia,grandmaster,35.4,50.9,12.5
dmon,asia,grandmaster,11.1,52.2,23.1
domina,asia,grandmaster,1.8,48.6,0.1
doomfist,asia,grandmaster,9.6,49.8,14.8
dva,asia,grandmaster,6.8,45.8,11.9
echo,asia,grandmaster,7.1,51.2,0.4
emre,asia,grandmaster,6.7,50.7,0.0
freja,asia,grandmaster,5.6,53.5,78.6
genji,asia,grandmaster,10.4,45.0,0.1
hanzo,asia,grandmaster,5.1,58.6,0.5
hazard,asia,grandmaster,8.1,51.6,3.6
illari,asia,grandmaster,6.3,53.9,0.5
jetpack-cat,asia,grandmaster,14.3,51.3,70.0
junker-queen,asia,grandmaster,1.7,44.2,0.2
junkrat,asia,grandmaster,1.9,47.3,0.1
juno,asia,grandmaster,4.5,45.0,0.1
kiriko,asia,grandmaster,67.3,50.4,3.4
lifeweaver,asia,grandmaster,1.5,37.2,0.1
lucio,asia,grandmaster,6.8,47.4,0.3
mauga,asia,grandmaster,5.7,48.5,14.2
mei,asia,grandmaster,3.0,49.6,1.2
mercy,asia,grandmaster,1.0,41.0,0.2
mizuki,asia,grandmaster,11.1,49.2,17.4
moira,asia,grandmaster,9.9,46.4,0.7
orisa,asia,grandmaster,8.2,50.1,13.5
pharah,asia,grandmaster,7.1,55.4,17.2
ramattra,asia,grandmaster,4.5,46.3,2.1
reaper,asia,grandmaster,7.7,48.8,1.4
reinhardt,asia,grandmaster,4.4,42.4,1.5
roadhog,asia,grandmaster,4.6,46.8,3.8
shion,asia,grandmaster,24.4,49.7,2.0
sierra,asia,grandmaster,0.4,41.2,0.1
sigma,asia,grandmaster,13.7,52.4,8.2
sojourn,asia,grandmaster,21.8,48.9,0.4
soldier-76,asia,grandmaster,4.7,48.3,0.3
sombra,asia,grandmaster,1.5,46.4,0.3
symmetra,asia,grandmaster,5.6,50.8,1.5
torbjorn,asia,grandmaster,3.4,48.0,0.1
tracer,asia,grandmaster,26.7,50.4,4.9
vendetta,asia,grandmaster,2.1,48.5,0.1
venture,asia,grandmaster,2.5,49.7,0.1
widowmaker,asia,grandmaster,6.3,42.4,2.5
winston,asia,grandmaster,6.6,47.2,0.7
wrecking-ball,asia,grandmaster,6.6,51.1,6.7
wuyang,asia,grandmaster,25.0,52.7,3.2
zarya,asia,grandmaster,6.7,57.4,38.4
zenyatta,asia,grandmaster,9.1,47.7,2.1
